               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.051096,            0.021561,                   0,             0.87129,             0.85714,              0.9259,             0.51285,            0.022746,           0.0085492,                   0,           0.0081265,           0.0081265,           0.0081265
                  97,             0.04264,            0.027847,                   0,             0.87129,             0.85714,              0.9259,             0.51285,            0.022746,           0.0085492,                   0,           0.0081068,           0.0081068,           0.0081068
                  98,            0.038476,            0.022296,                   0,             0.86668,             0.85714,             0.90714,             0.48439,            0.023791,           0.0087247,                   0,           0.0080871,           0.0080871,           0.0080871
                  99,            0.044509,            0.019083,                   0,             0.84853,             0.85714,             0.90787,             0.52328,            0.025498,           0.0087018,                   0,           0.0080673,           0.0080673,           0.0080673
                 100,            0.043201,            0.023264,                   0,             0.84853,             0.85714,             0.90787,             0.52328,            0.025498,           0.0087018,                   0,           0.0080476,           0.0080476,           0.0080476
                 101,              0.0392,            0.023996,                   0,             0.97657,             0.85714,             0.94209,             0.46383,            0.024947,           0.0088468,                   0,           0.0080279,           0.0080279,           0.0080279
                 102,            0.049991,            0.025126,                   0,             0.98233,             0.85714,             0.93173,             0.59022,            0.023295,           0.0085375,                   0,           0.0080082,           0.0080082,           0.0080082
                 103,            0.046471,            0.021968,                   0,             0.98233,             0.85714,             0.93173,             0.59022,            0.023295,           0.0085375,                   0,           0.0079884,           0.0079884,           0.0079884
                 104,            0.047845,            0.022113,                   0,             0.99794,             0.92857,             0.97944,             0.59341,            0.021298,           0.0089524,                   0,           0.0079687,           0.0079687,           0.0079687
                 105,            0.048699,            0.024973,                   0,             0.99794,             0.92857,             0.97944,             0.59341,            0.021298,           0.0089524,                   0,            0.007949,            0.007949,            0.007949
                 106,            0.042861,            0.023076,                   0,             0.98962,             0.92857,             0.97167,             0.62145,            0.020919,           0.0092671,                   0,           0.0079293,           0.0079293,           0.0079293
                 107,            0.045772,            0.026767,                   0,             0.98063,             0.92857,                0.96,             0.63736,            0.021725,           0.0091867,                   0,           0.0079096,           0.0079096,           0.0079096
                 108,            0.042083,            0.017583,                   0,             0.98063,             0.92857,                0.96,             0.63736,            0.021725,           0.0091867,                   0,           0.0078898,           0.0078898,           0.0078898
                 109,            0.042794,            0.021448,                   0,             0.98429,             0.92857,                0.96,             0.64287,            0.020549,           0.0093868,                   0,           0.0078701,           0.0078701,           0.0078701
                 110,            0.041806,            0.021281,                   0,                   1,             0.91925,              0.9613,             0.64123,            0.020432,           0.0082238,                   0,           0.0078504,           0.0078504,           0.0078504
                 111,            0.041699,            0.022873,                   0,                   1,             0.91925,              0.9613,             0.64123,            0.020432,           0.0082238,                   0,           0.0078307,           0.0078307,           0.0078307
                 112,             0.03673,            0.018529,                   0,                   1,             0.91372,             0.96583,             0.66452,            0.019207,           0.0081024,                   0,            0.007811,            0.007811,            0.007811
                 113,            0.044087,            0.021642,                   0,                   1,             0.91372,             0.96583,             0.66452,            0.019207,           0.0081024,                   0,           0.0077912,           0.0077912,           0.0077912
                 114,            0.041276,            0.023642,                   0,                   1,             0.91744,             0.95879,             0.62847,            0.019883,           0.0081275,                   0,           0.0077715,           0.0077715,           0.0077715
                 115,            0.047246,            0.022629,                   0,                   1,               0.924,             0.96761,              0.6294,             0.01922,           0.0079086,                   0,           0.0077518,           0.0077518,           0.0077518
                 116,            0.042936,            0.018573,                   0,                   1,               0.924,             0.96761,              0.6294,             0.01922,           0.0079086,                   0,           0.0077321,           0.0077321,           0.0077321
                 117,            0.041093,            0.019076,                   0,             0.92314,             0.92857,             0.96955,              0.6648,            0.019587,           0.0080867,                   0,           0.0077124,           0.0077124,           0.0077124
                 118,            0.035959,            0.021509,                   0,             0.90868,             0.92857,              0.9592,             0.50955,            0.024493,           0.0084317,                   0,           0.0076926,           0.0076926,           0.0076926
                 119,            0.050526,            0.023113,                   0,             0.90868,             0.92857,              0.9592,             0.50955,            0.024493,           0.0084317,                   0,           0.0076729,           0.0076729,           0.0076729
                 120,            0.038148,            0.019246,                   0,                   1,             0.90511,             0.96583,             0.58471,            0.019671,           0.0090182,                   0,           0.0076532,           0.0076532,           0.0076532
                 121,             0.03822,            0.021069,                   0,                   1,             0.90511,             0.96583,             0.58471,            0.019671,           0.0090182,                   0,           0.0076335,           0.0076335,           0.0076335
                 122,             0.03799,            0.020562,                   0,             0.98169,             0.85714,             0.94688,             0.61977,            0.018777,           0.0094769,                   0,           0.0076137,           0.0076137,           0.0076137
                 123,            0.038673,            0.023194,                   0,                   1,             0.89924,             0.95767,             0.46389,            0.023838,           0.0085251,                   0,            0.007594,            0.007594,            0.007594
                 124,            0.033111,            0.017293,                   0,                   1,             0.89924,             0.95767,             0.46389,            0.023838,           0.0085251,                   0,           0.0075743,           0.0075743,           0.0075743
                 125,            0.046191,            0.019227,                   0,             0.92548,             0.92857,             0.95161,             0.55759,            0.022299,           0.0085552,                   0,           0.0075546,           0.0075546,           0.0075546
                 126,            0.036603,            0.024673,                   0,             0.86562,             0.92075,             0.94408,             0.62651,            0.021694,           0.0089355,                   0,           0.0075349,           0.0075349,           0.0075349
